task,vri_id,mi_number,mi_modification,mi_manufactureYear,mi_Owner_name,org_title,mitypeTitle,mitypeType,mitypeNumber,vriType,result_doc_type,result_docnum,mitypeURL
"Манометры, поверенные в ЦАГИ",164078083,002121,МП4-У...,,ФАУ &...,ФЕДЕР...,Маном...,МП-Уф...,43902-14,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/354679
"Манометры, поверенные в ЦАГИ",164078084,1482921,МТП-1...,,ФАУ &...,ФЕДЕР...,Маном...,МТП-1...,3255-72,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/340926
"Манометры, поверенные в ЦАГИ",164078085,614194,ГМ-16...,,ФАУ &...,ФЕДЕР...,Тягом...,"ТМ, Н...",37815-08,Периодическая,Извещение о непригодности,И-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/347443
"Манометры, поверенные в ЦАГИ",164078087,2788858,МТП-1...,,ФАУ &...,ФЕДЕР...,Маном...,МТП-1...,3255-72,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/340926
"Манометры, поверенные в ЦАГИ",164078088,2087110,МТП-1...,,ФАУ &...,ФЕДЕР...,Маном...,МТП-1...,3255-72,Периодическая,Извещение о непригодности,И-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/340926
"Манометры, поверенные в ЦАГИ",164078089,88310,ЭКМВ-...,,ФАУ &...,ФЕДЕР...,Маном...,ЭКМ-1...,4041-74,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/350545
"Манометры, поверенные в ЦАГИ",164078091,002077,МП4-У...,,ФАУ &...,ФЕДЕР...,Маном...,МП-Уф...,43902-14,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/354679
"Манометры, поверенные в ЦАГИ",164078092,1960660,ГМ-16...,,ФАУ &...,ФЕДЕР...,Тягом...,"ТМ, Н...",37815-08,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/347443
"Манометры, поверенные в ЦАГИ",164078094,546,МТ (0...,,ФАУ &...,ФЕДЕР...,Маном...,МТ,3383-72,Периодическая,Извещение о непригодности,И-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/342541
"Манометры, поверенные в ЦАГИ",164078095,1.D,МТ (0...,,ФАУ &...,ФЕДЕР...,Маном...,МТ,3383-72,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/342541
"Манометры, поверенные в ЦАГИ",164078096,1.B,МТ (0...,,ФАУ &...,ФЕДЕР...,Маном...,МТ,3383-72,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/342541
"Манометры, поверенные в ЦАГИ",164078098,14,ТМ2 (...,,ФАУ &...,ФЕДЕР...,Маном...,"ТМ, Т...",25913-03,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/331773
"Манометры, поверенные в ЦАГИ",164078099,122,ТМ2 (...,,ФАУ &...,ФЕДЕР...,Маном...,"ТМ, Т...",25913-03,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/331773
"Манометры, поверенные в ЦАГИ",164078100,113,ТМ2 (...,,ФАУ &...,ФЕДЕР...,Маном...,"ТМ, Т...",25913-03,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/331773
"Манометры, поверенные в ЦАГИ",164078102,416,МТ (0...,,ФАУ &...,ФЕДЕР...,Маном...,МТ,3383-72,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/342541
"Манометры, поверенные в ЦАГИ",164078103,1016,МТ (0...,,ФАУ &...,ФЕДЕР...,Маном...,МТ,3383-72,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/342541
"Манометры, поверенные в ЦАГИ",164078104,2.A,МТ (0...,,ФАУ &...,ФЕДЕР...,Маном...,МТ,3383-72,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/342541
"Манометры, поверенные в ЦАГИ",164078106,1950114,МТП-1...,,ФАУ &...,ФЕДЕР...,Маном...,МТП-1...,3255-72,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/340926
"Манометры, поверенные в ЦАГИ",164078107,1245566,МТП-1...,,ФАУ &...,ФЕДЕР...,Маном...,МТП-1...,3255-72,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/340926
"Манометры, поверенные в ЦАГИ",164078109,777,МП4-У...,,ФАУ &...,ФЕДЕР...,Маном...,МП3-У...,10135-88,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/304273
"Манометры, поверенные в ЦАГИ",164078110,1026324,ТМ 5 ...,,ФАУ &...,ФЕДЕР...,Маном...,"ТМ, Т...",25913-03,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/331773
"Манометры, поверенные в ЦАГИ",164078111,1039924,ТМ 5 ...,,ФАУ &...,ФЕДЕР...,Маном...,"ТМ, Т...",25913-03,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/331773
"Манометры, поверенные в ЦАГИ",164078113,536779,МТП-1...,,ФАУ &...,ФЕДЕР...,Маном...,МТП-1...,3255-72,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/340926
"Манометры, поверенные в ЦАГИ",164078116,474034,ЭКМВ-...,,ФАУ &...,ФЕДЕР...,Маном...,ЭКМ-1...,4041-74,Периодическая,Извещение о непригодности,И-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/350545
"Манометры, поверенные в ЦАГИ",164078120,474050,ЭКМВ-...,,ФАУ &...,ФЕДЕР...,Маном...,ЭКМ-1...,4041-74,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/350545
"Манометры, поверенные в ЦАГИ",164078122,144404,ЭКМВ-...,,ФАУ &...,ФЕДЕР...,Маном...,ЭКМ-1...,4041-74,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/350545
"Манометры, поверенные в ЦАГИ",164078123,144413,ЭКМВ-...,,ФАУ &...,ФЕДЕР...,Маном...,ЭКМ-1...,4041-74,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/350545
"Манометры, поверенные в ЦАГИ",164078125,354318,ЭКМВ-...,,ФАУ &...,ФЕДЕР...,Маном...,ЭКМ-1...,4041-74,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/350545
"Манометры, поверенные в ЦАГИ",164078126,469138,ЭКМВ-...,,ФАУ &...,ФЕДЕР...,Маном...,ЭКМ-1...,4041-74,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/350545
"Манометры, поверенные в ЦАГИ",164078128,477303,ЭКВ-1У,,ФАУ &...,ФЕДЕР...,Маном...,"ЭкМ, ...",36003-07,Периодическая,Извещение о непригодности,И-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/345274
"Манометры, поверенные в ЦАГИ",164078129,036,ТМВ 6...,,ФАУ &...,ФЕДЕР...,Маном...,"ТМ, Т...",25913-08,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/331774
